S003,S007,S017,S019,X001,X003,X007,X011,X025A,X047,C001,D057,D063_B
DEU,2760600222,0.29370283007547165,0.21532465548055105,2,79,1,2,NA,4,3,3,1
DEU,2760600223,0.15385895382567377,0.11279981952028868,2,69,3,3,NA,2,3,3,1
DEU,2760600224,0.24173451322477865,0.17722471644045354,1,62,1,1,NA,5,1,3,2
DEU,2760600225,0.33339516656773327,0.24442460892062556,1,49,6,0,NA,1,3,3,1
DEU,2760600226,0.1479255633190986,0.10844982648027755,1,21,6,0,NA,7,2,2,1
DEU,2760600227,0.8352781635549377,0.6123740202015673,2,27,1,1,NA,6,2,2,3
DEU,2760600228,0.853385234583624,0.6256489989616012,2,53,1,2,NA,7,3,2,1
DEU,2760600229,1.3908685746102794,1.0196983684826095,2,59,1,2,NA,5,2,4,1
DEU,2760600230,0.8646382165788528,0.6338989857616223,1,55,1,0,NA,7,2,NA,1
DEU,2760600231,0.8275033759945977,0.6066740293215526,2,35,1,1,NA,5,2,2,3
DEU,2760600232,0.9948659082145461,0.7293738330018666,2,63,5,1,NA,5,2,3,1
DEU,2760600233,2.714423856921827,1.990046815925093,1,25,6,0,NA,5,2,2,2
DEU,2760600234,0.36357361828221046,0.26654957352068215,1,74,1,3,NA,5,2,2,1
DEU,2760600235,0.18096841045054313,0.13267478772033953,1,68,4,1,NA,3,3,3,3
DEU,2760600236,0.29175913318538665,0.2138996577605474,1,33,6,0,NA,3,2,1,1
DEU,2760600237,0.244598908641746,0.17932471308045894,1,50,6,0,NA,1,3,2,2
DEU,2760600238,0.4260788182738904,0.3123745002007994,1,80,1,1,NA,5,2,1,1
DEU,2760600239,0.3675633118987007,0.26947456884068965,2,35,1,1,NA,6,1,3,1
DEU,2760600240,0.3209145865366613,0.2352746235606021,2,53,1,1,NA,5,1,4,1
DEU,2760600241,0.15784864744216395,0.11572481484029615,2,37,1,0,NA,4,2,3,2
DEU,2760600242,0.2737543619930206,0.20069967888051365,2,58,1,2,NA,5,2,1,1
DEU,2760600243,0.6373279802752311,0.4672492524011958,2,52,1,3,NA,7,2,NA,1
DEU,2760600244,0.18096841045054313,0.13267478772033953,1,62,1,3,NA,4,2,1,1
DEU,2760600245,0.27856245430007287,0.20422467324052263,1,54,1,6,NA,4,2,3,2
DEU,2760600246,0.19784788344338633,0.14504976792037122,2,45,1,3,NA,6,2,2,1
DEU,2760600247,0.6209600064639892,0.45524927160116513,2,29,1,2,NA,6,2,3,1
DEU,2760600248,2.187988899217759,1.604097433444105,1,79,5,3,NA,5,2,3,1
DEU,2760600249,2.187988899217759,1.604097433444105,1,85,1,2,NA,6,2,3,1
DEU,2760600250,1.3303070715086844,0.975298439522496,1,69,1,2,NA,5,2,2,1
DEU,2760600251,1.5575150079759859,1.1418731730029221,2,36,1,1,NA,6,2,3,1
DEU,2760600252,2.9690481495229584,2.176721517245571,2,45,6,2,NA,5,1,3,1
DEU,2760600253,2.8818886889780955,2.1128216194854073,1,53,2,2,NA,5,2,1,3
DEU,2760600254,2.8880266791573113,2.117321612285419,2,72,1,2,NA,5,2,4,1
DEU,2760600255,2.6176482117628592,1.9190969294449114,2,52,1,2,NA,5,2,4,1
DEU,2760600256,2.8880266791573113,2.117321612285419,2,70,1,2,NA,8,2,1,1
DEU,2760600257,2.7324286281141927,2.0032467948051265,2,43,3,1,NA,1,2,4,1
DEU,2760600258,0.698298682722107,0.5119491808813101,2,73,1,2,NA,6,2,2,1
DEU,2760600259,0.6967641851773032,0.5108241826813074,1,58,1,4,NA,4,3,2,2
DEU,2760600260,0.5241843613050214,0.3842993851209835,1,60,1,3,NA,8,2,2,2
DEU,2760600261,1.0133821785885135,0.7429488112819014,1,35,1,1,NA,4,2,2,1
DEU,2760600262,0.37656569749488367,0.2760745582807065,2,39,1,3,NA,7,2,1,1
DEU,2760600263,0.40162915739334787,0.29444952888075354,1,46,1,0,NA,7,2,3,3
DEU,2760600264,0.37656569749488367,0.2760745582807065,2,35,1,0,NA,8,2,4,1
DEU,2760600265,1.1883148986961611,0.8711986060822297,1,51,1,3,NA,4,2,1,1
DEU,2760600266,1.2939906296149914,0.9486734821224276,2,73,5,0,NA,4,3,2,1
DEU,2760600267,0.6622891403373748,0.48554922312124255,2,51,6,2,NA,1,2,1,1
DEU,2760600268,0.8389609576624671,0.6150740158815741,2,63,3,1,NA,3,3,2,1
DEU,2760600269,0.6482740627614991,0.4752742395612164,2,26,6,1,NA,6,2,4,1
DEU,2760600270,2.630742590811853,1.928696914084936,2,48,1,1,NA,6,2,3,1
DEU,2760600271,1.1267303972313634,0.8260486783221139,2,49,1,1,NA,2,1,3,1
DEU,2760600272,1.2129691592493441,0.8892735771622757,1,46,3,1,NA,3,3,2,2
DEU,2760600273,0.9022845563447092,0.6614989416016929,1,28,6,0,NA,3,1,1,1
DEU,2760600274,0.9021822565083889,0.6614239417216927,1,73,5,0,NA,2,2,2,3
DEU,2760600275,0.6482740627614991,0.4752742395612164,2,29,6,0,NA,5,2,2,1
DEU,2760600276,1.1908723946041675,0.8730736030822343,2,83,1,2,NA,7,2,3,1
DEU,2760600277,0.893998269602768,0.6554239513216774,1,68,1,2,NA,7,2,3,2
DEU,2760600278,0.6622891403373748,0.48554922312124255,2,51,6,0,NA,3,2,2,1
DEU,2760600279,0.5529306153110151,0.40537435140103745,1,63,1,2,NA,6,2,1,1
DEU,2760600280,0.7365588215058849,0.5399991360013819,2,74,1,2,NA,8,2,1,1
DEU,2760600281,1.0649412960939253,0.780748750801998,2,26,3,1,NA,5,2,2,1
DEU,2760600282,3.7435602103036607,2.744545608727024,1,38,2,1,NA,6,2,3,1
DEU,2760600283,0.9837152260556375,0.7211988460818457,1,33,1,1,NA,5,2,1,2
DEU,2760600284,1.603345334647463,1.1754731192430081,1,36,1,2,NA,8,2,3,1
DEU,2760600285,1.1142498172002915,0.8168986929620905,1,66,1,1,NA,5,3,2,3
DEU,2760600286,1.1572157484548016,0.8483986425621713,2,24,6,0,NA,2,3,3,1
DEU,2760600287,1.1979310833102659,0.8782485948022477,1,51,3,0,NA,5,2,3,1
DEU,2760600288,0.6676087318260285,0.4894492168812526,2,50,4,1,NA,4,2,2,1
DEU,2760600289,0.9094455448871275,0.6667489332017064,1,80,3,2,NA,5,1,2,1
DEU,2760600290,1.2341452253676384,0.9047985523223157,2,45,1,1,NA,6,2,2,1
DEU,2760600291,1.603345334647463,1.1754731192430081,1,38,1,3,NA,5,1,3,1
DEU,2760600292,1.0880610591023048,0.7976987236820416,2,58,3,2,NA,5,1,1,1
DEU,2760600293,0.5529306153110151,0.40537435140103745,1,63,1,2,NA,4,2,2,1
DEU,2760600294,3.0454661272541936,2.2327464276057136,1,51,1,1,NA,5,3,2,1
DEU,2760600295,3.05191101694237,2.237471420045726,2,76,1,1,NA,6,2,1,1
DEU,2760600296,1.7553628914193724,1.2869229409232936,1,46,1,2,NA,8,2,3,2
DEU,2760600297,1.7197625483799213,1.2608229826832267,1,56,1,2,NA,6,2,NA,1
DEU,2760600298,1.2226876436997691,0.896398565762294,1,46,1,3,NA,4,1,3,1
DEU,2760600299,1.391380073791881,1.0200733678826106,1,47,3,0,NA,5,NA,3,1
DEU,2760600300,1.1358350826638668,0.8327236676421311,2,45,2,2,NA,3,2,3,1
